Genes
BCMA
CD38
CD56
CD138
TACI
SLAMF7
CD19
LY9
ITGB7
GPRC5D
CD40
CD44
CD47
BST2
IGF1R
ICAM1
CD74
CD81
CD86
CD200
IGKC
FUT3
CD70
CD1D
