"","x"
"BCMA","206641_at"
"CD38","205692_s_at"
"CD56","227394_at"
"CD138","201287_s_at"
"TACI","207641_at"
"SLAMF7","222838_at"
"CD19","206398_s_at"
"LY9","231124_x_at"
"ITGB7","205718_at"
"GPRC5D","221297_at"
"CD40","35150_at"
"CD44","212063_at"
"CD47","211075_s_at"
"BST2","201641_at"
"IGF1R","225330_at"
"ICAM1","202637_s_at"
"CD74","209619_at"
"CD81","200675_at"
"CD86","210895_s_at"
"CD200","209583_s_at"
"IGKC","224795_x_at"
"FUT3","214088_s_at"
"CD70","206508_at"
"CD1D","205789_at"
